"","ACL","ZIP","IP","VMP","NVM","TDM","TDC","TDCH","TEM","TEC","TECH","TNM","TNC","TNCH","TIM","TIC","TICH","CSC","Churn"
"1",128,415,"No","Yes",25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,"NO"
"8",147,415,"Yes","No",0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,"NO"
"10",141,415,"Yes","Yes",37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,"NO"
"13",168,408,"No","No",0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,"NO"
"19",76,510,"No","Yes",33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,"NO"
"26",174,415,"No","No",0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,"NO"
"29",20,415,"No","No",0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,"NO"
"34",12,408,"No","No",0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,"YES"
"36",72,415,"No","Yes",37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,"NO"
"37",36,408,"No","Yes",30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,"NO"
"38",78,415,"No","No",0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,"NO"
"50",97,415,"No","Yes",24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1,"NO"
"59",68,415,"No","No",0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,"NO"
"61",174,408,"No","No",0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,"NO"
"63",74,510,"No","Yes",33,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,"NO"
"68",113,408,"Yes","No",0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,"NO"
"73",147,510,"No","No",0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8,4,2.16,3,"NO"
"87",94,408,"No","No",0,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,4,"YES"
"88",111,510,"No","No",0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12,2,3.24,1,"NO"
"89",74,415,"No","Yes",35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,"NO"
"92",155,415,"No","No",0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0,"YES"
"105",122,408,"No","No",0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,"NO"
"107",36,510,"No","Yes",29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9,6,2.43,2,"NO"
"109",141,415,"No","Yes",32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,"NO"
"113",98,408,"No","No",0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,"NO"
"114",125,408,"No","No",0,126.7,108,21.54,206,90,17.51,247.8,114,11.15,13.3,7,3.59,1,"NO"
"115",63,415,"No","No",0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,"NO"
"117",64,510,"No","No",0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,"NO"
"120",97,408,"No","No",0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,"NO"
"121",46,408,"No","No",0,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,"NO"
"122",41,408,"No","Yes",22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,"NO"
"129",92,408,"No","No",0,91.7,90,15.59,193.7,123,16.46,175,86,7.88,9.2,4,2.48,2,"NO"
"130",131,408,"No","Yes",36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,"NO"
"135",163,408,"No","No",0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,"NO"
"140",113,415,"No","Yes",23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,"NO"
"145",117,408,"Yes","No",0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,"YES"
"147",127,408,"No","No",0,146.7,91,24.94,203.5,78,17.3,203.4,110,9.15,13.7,3,3.7,1,"NO"
"156",151,408,"No","No",0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,"NO"
"157",83,415,"No","No",0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,"YES"
"168",148,415,"No","No",0,202,102,34.34,243.2,128,20.67,261.3,90,11.76,10.9,3,2.94,1,"NO"
"169",94,408,"No","Yes",38,170.1,124,28.92,193.3,116,16.43,105.9,73,4.77,12.8,4,3.46,1,"NO"
"170",32,510,"No","No",0,230.9,87,39.25,187.4,90,15.93,154,53,6.93,6.3,2,1.7,0,"NO"
"171",68,408,"No","No",0,237.1,105,40.31,223.5,105,19,97.4,79,4.38,13.2,2,3.56,1,"NO"
"177",62,415,"No","No",0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,"NO"
"183",67,408,"No","Yes",36,115.6,111,19.65,237.7,94,20.2,169.9,103,7.65,9.9,12,2.67,2,"NO"
"185",170,510,"Yes","No",0,259.9,68,44.18,245,122,20.83,134.4,121,6.05,8.4,3,2.27,3,"NO"
"186",73,415,"No","No",0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1,"NO"
"187",106,408,"No","No",0,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,"NO"
"196",117,415,"No","Yes",23,198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,1,"NO"
"197",78,415,"No","No",0,149.7,119,25.45,182.2,115,15.49,261.5,126,11.77,9.7,8,2.62,0,"NO"
"203",97,415,"No","No",0,218,86,37.06,184,94,15.64,240.5,110,10.82,6.4,8,1.73,3,"NO"
"206",66,415,"No","Yes",36,106.7,76,18.14,209.8,77,17.83,190.4,117,8.57,12.1,2,3.27,1,"NO"
"209",106,510,"No","No",0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,"NO"
"212",144,510,"Yes","No",0,203.5,100,34.6,247.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,"NO"
"214",86,408,"No","Yes",31,167.6,139,28.49,113,118,9.61,246.9,121,11.11,12.2,6,3.29,1,"NO"
"218",120,415,"No","No",0,180,80,30.6,224.2,82,19.06,265.4,91,11.94,4.7,7,1.27,3,"NO"
"224",35,408,"No","No",0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,"NO"
"225",88,408,"No","No",0,65.4,97,11.12,168.2,76,14.3,236,113,10.62,13.8,1,3.73,2,"NO"
"233",100,415,"No","No",0,203.1,96,34.53,217,126,18.45,180.9,122,8.14,13.5,2,3.65,3,"NO"
"234",53,415,"No","No",0,168.8,97,28.7,220.3,87,18.73,154.3,113,6.94,10.9,2,2.94,0,"NO"
"240",73,415,"No","No",0,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,"NO"
"241",138,510,"No","No",0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,"NO"
"272",117,415,"No","No",0,134.7,121,22.9,180,83,15.3,200.9,104,9.04,7.7,3,2.08,1,"NO"
"273",49,415,"No","Yes",28,214.4,78,36.45,235.2,100,19.99,206.2,107,9.28,8,13,2.16,3,"NO"
"274",139,415,"No","No",0,192.8,104,32.78,234.4,96,19.92,203.2,101,9.14,13,3,3.51,3,"NO"
"279",131,415,"No","Yes",25,192.7,85,32.76,225.9,105,19.2,254.2,59,11.44,10.9,6,2.94,2,"NO"
"281",143,415,"No","No",0,172.3,97,29.29,174,108,14.79,188.2,119,8.47,13,4,3.51,2,"NO"
"287",137,510,"No","No",0,206.4,122,35.09,128,102,10.88,194.5,84,8.75,8.8,5,2.38,2,"NO"
"289",167,510,"No","No",0,207.6,88,35.29,132.4,63,11.25,255.2,98,11.48,14.1,5,3.81,0,"NO"
"292",132,510,"No","No",0,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,"NO"
"294",96,415,"No","Yes",37,172.7,93,29.36,120.1,116,10.21,216.1,86,9.72,10.3,5,2.78,5,"YES"
"296",166,510,"No","No",0,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,"NO"
"303",121,408,"No","No",0,170.4,108,28.97,350.5,68,29.79,297,87,13.37,11.2,3,3.02,0,"YES"
"307",113,415,"No","No",0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,"YES"
"313",16,510,"No","No",0,205.6,69,34.95,169.5,93,14.41,220.1,64,9.9,10.9,3,2.94,0,"NO"
"316",39,408,"No","No",0,60.4,158,10.27,306.2,120,26.03,123.9,46,5.58,12.4,3,3.35,1,"NO"
"317",103,415,"No","Yes",28,121,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,"NO"
"320",128,510,"Yes","Yes",32,223.5,81,38,188.8,74,16.05,154.9,101,6.97,9.4,2,2.54,2,"YES"
"321",86,510,"No","No",0,176.3,79,29.97,259.2,97,22.03,287.4,78,12.93,6.2,3,1.67,0,"NO"
"322",114,415,"No","Yes",32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,"NO"
"324",148,415,"No","No",0,86.3,134,14.67,246.6,92,20.96,251.6,91,11.32,11.3,4,3.05,1,"NO"
"325",129,408,"No","No",0,207,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,"NO"
"329",76,510,"No","No",0,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,"NO"
"331",116,510,"No","No",0,192.1,98,32.66,312.9,135,26.6,130.2,94,5.86,7.9,2,2.13,3,"NO"
"337",99,510,"No","No",0,169.2,70,28.76,271.5,77,23.08,170.2,104,7.66,10.6,2,2.86,0,"NO"
"339",77,510,"No","No",0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,"NO"
"348",162,510,"No","No",0,220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1,"NO"
"351",59,510,"No","No",0,182.5,104,31.03,204.7,95,17.4,229.9,100,10.35,11.3,8,3.05,4,"NO"
"352",179,415,"Yes","Yes",38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,4,"NO"
"357",124,408,"Yes","No",0,244.6,89,41.58,188.8,80,16.05,206,114,9.27,11.3,4,3.05,1,"NO"
"359",37,408,"Yes","Yes",39,149.7,122,25.45,211.1,75,17.94,114.3,90,5.14,9.2,4,2.48,1,"NO"
"378",79,408,"No","No",0,205.7,123,34.97,214.5,108,18.23,226.1,106,10.17,6.7,18,1.81,1,"NO"
"379",95,415,"Yes","No",0,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1,"YES"
"381",137,510,"No","No",0,242.1,118,41.16,191,93,16.24,218.6,50,9.84,14.7,2,3.97,3,"NO"
"387",99,415,"No","No",0,146.7,64,24.94,274,99,23.29,321.3,98,14.46,8.9,1,2.4,3,"NO"
"388",54,510,"No","No",0,210.5,102,35.79,204.5,83,17.38,127.8,53,5.75,8.5,5,2.3,1,"NO"
"390",150,510,"No","No",0,126,99,21.42,238.5,73,20.27,285.1,100,12.83,10.2,6,2.75,3,"NO"
"393",98,415,"No","No",0,206.5,92,35.11,176.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5,"NO"
"405",73,415,"No","No",0,183.4,80,31.18,242,115,20.57,201.4,100,9.06,7.5,3,2.03,4,"NO"
"417",224,510,"Yes","No",0,171.5,99,29.16,160,103,13.6,212.4,102,9.56,5,2,1.35,1,"YES"
"422",51,510,"No","No",0,259.9,114,44.18,176.2,94,14.98,77.2,112,3.47,15.3,1,4.13,1,"NO"
"425",112,415,"No","Yes",16,221.6,110,37.67,130.2,123,11.07,200,108,9,11.3,3,3.05,1,"NO"
"428",67,415,"No","Yes",40,104.9,65,17.83,216.3,93,18.39,217.4,128,9.78,9.6,9,2.59,1,"NO"
"431",46,510,"No","No",0,250.3,100,42.55,260.6,90,22.15,195,104,8.78,13.3,2,3.59,2,"YES"
"432",148,415,"No","No",0,178.3,98,30.31,282.6,110,24.02,181,98,8.15,11.4,4,3.08,1,"NO"
"433",112,510,"No","No",0,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,"NO"
"445",85,408,"Yes","No",0,165.4,107,28.12,196,126,16.66,349.2,110,15.71,9.6,7,2.59,2,"NO"
"446",70,510,"No","No",0,59.5,103,10.12,257.2,106,21.86,208.3,86,9.37,11.1,6,3,0,"NO"
"449",75,415,"No","No",0,117.3,114,19.94,201.1,61,17.09,107.9,82,4.86,12.2,3,3.29,1,"NO"
"457",60,415,"No","No",0,98.2,88,16.69,180.5,69,15.34,223.6,69,10.06,9.3,2,2.51,2,"NO"
"459",11,415,"No","Yes",28,190.6,86,32.4,220.1,122,18.71,180.3,80,8.11,6,3,1.62,3,"NO"
"462",115,408,"No","No",0,147.9,109,25.14,228.4,117,19.41,299.7,90,13.49,9.6,9,2.59,3,"NO"
"466",71,415,"Yes","No",0,178.2,113,30.29,167.8,94,14.26,182.1,111,8.19,13.6,3,3.67,3,"YES"
"468",112,415,"No","No",0,170.4,103,28.97,200.2,71,17.02,258.3,100,11.62,11.6,4,3.13,1,"NO"
"471",44,415,"No","No",0,240.3,146,40.85,164.6,83,13.99,240.7,106,10.83,10.6,2,2.86,1,"NO"
"480",99,408,"No","No",0,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,"NO"
"481",166,408,"No","No",0,181.4,108,30.84,253.8,54,21.57,112.3,94,5.05,11.6,6,3.13,1,"NO"
"482",124,408,"No","No",0,151.1,123,25.69,187.4,104,15.93,255.4,93,11.49,5.3,3,1.43,1,"NO"
"484",117,510,"No","No",0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2,"NO"
"487",102,510,"Yes","No",0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,12.8,3,3.46,0,"NO"
"490",130,415,"No","No",0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1,"NO"
"495",18,408,"No","No",0,273.6,93,46.51,114.6,116,9.74,250.6,120,11.28,8.2,4,2.21,1,"NO"
"498",144,415,"No","No",0,177.5,93,30.18,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2,"NO"
"499",75,408,"Yes","No",0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,"YES"
"500",95,415,"No","No",0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1,"NO"
"504",109,415,"Yes","Yes",26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0,"NO"
"505",80,510,"No","No",0,206.3,97,35.07,154.9,98,13.17,263.6,82,11.86,12.4,12,3.35,0,"NO"
"509",143,408,"No","Yes",24,186.6,69,31.72,222,116,18.87,234.9,138,10.57,11.6,5,3.13,1,"NO"
"511",193,408,"No","Yes",17,124,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1,"NO"
"512",73,415,"No","No",0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,14.8,8,4,3,"NO"
"517",96,510,"No","No",0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,2,"NO"
"519",87,415,"No","No",0,168.2,92,28.59,224.7,100,19.1,169.5,99,7.63,12.9,3,3.48,1,"NO"
"527",30,510,"No","No",0,227.4,88,38.66,182.5,100,15.51,191.7,134,8.63,12.5,3,3.38,0,"NO"
"532",77,415,"No","No",0,163,112,27.71,219.1,89,18.62,233.4,66,10.5,6.7,3,1.81,2,"NO"
"535",67,510,"No","No",0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,"NO"
"540",59,408,"No","No",0,107.8,113,18.33,216.6,125,18.41,217.5,92,9.79,9.9,3,2.67,2,"NO"
"542",150,415,"No","Yes",29,209.9,77,35.68,158,52,13.43,141.9,113,6.39,6.6,1,1.78,0,"NO"
"551",111,415,"No","No",0,172.8,58,29.38,183.1,108,15.56,158.8,104,7.15,7.9,3,2.13,4,"YES"
"552",157,415,"No","No",0,224.5,111,38.17,200.7,99,17.06,116.6,118,5.25,11.5,2,3.11,2,"NO"
"553",44,510,"No","No",0,288.1,112,48.98,258,92,21.93,192.4,90,8.66,10.2,4,2.75,3,"YES"
"556",74,415,"No","Yes",25,194.6,84,33.08,119.9,103,10.19,175.5,75,7.9,13.1,2,3.54,2,"NO"
"562",53,408,"No","Yes",18,146.8,107,24.96,310,84,26.35,178.7,130,8.04,7.2,7,1.94,0,"NO"
"563",99,408,"No","Yes",28,200.7,88,34.12,264.2,116,22.46,172.7,102,7.77,9.1,5,2.46,1,"NO"
"573",44,415,"Yes","No",0,62.3,92,10.59,275,82,23.38,138.7,108,6.24,10.8,3,2.92,1,"NO"
"588",114,415,"No","No",0,169.6,85,28.83,58.9,86,5.01,179.3,124,8.07,7.4,8,2,1,"NO"
"589",101,408,"No","No",0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,"YES"
"591",109,408,"No","No",0,218.9,105,37.21,299.9,87,25.49,158.6,110,7.14,11.3,4,3.05,2,"NO"
"596",87,408,"No","Yes",28,151.4,95,25.74,152.4,97,12.95,250.1,109,11.25,0,0,0,1,"NO"
"598",39,408,"No","No",0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,"NO"
"606",112,415,"No","No",0,335.5,77,57.04,212.5,109,18.06,265,132,11.93,12.7,8,3.43,2,"YES"
"609",28,415,"No","No",0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0,"NO"
"613",151,510,"No","No",0,156.4,108,26.59,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,"NO"
"624",172,415,"No","No",0,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,"NO"
"627",95,408,"Yes","Yes",37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0,"YES"
"637",121,408,"No","No",0,150.7,105,25.62,197.3,133,16.77,169,116,7.61,9.2,15,2.48,1,"NO"
"644",49,415,"No","No",0,213.8,79,36.35,265.1,93,22.53,239.8,128,10.79,15.6,7,4.21,0,"NO"
"646",50,415,"No","Yes",22,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3,3,"NO"
"647",153,408,"No","Yes",28,235.6,74,40.05,227.9,37,19.37,170.3,103,7.66,15.4,9,4.16,0,"NO"
"651",140,415,"No","No",0,235.5,81,40.04,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11,2,"NO"
"655",96,510,"No","Yes",31,183.4,126,31.18,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84,1,"NO"
"657",55,415,"No","No",0,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,"NO"
"658",130,415,"No","No",0,242.5,101,41.23,102.8,114,8.74,142.4,89,6.41,9.3,2,2.51,2,"NO"
"660",139,415,"No","No",0,138.1,103,23.48,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24,1,"NO"
"661",109,408,"No","No",0,264.7,69,45,305,120,25.93,197.4,86,8.88,9.5,9,2.57,1,"YES"
"662",65,408,"No","Yes",31,282.3,70,47.99,152,89,12.92,225.5,93,10.15,12,4,3.24,1,"NO"
"664",152,415,"No","No",0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2,3,"NO"
"665",147,408,"No","No",0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,"NO"
"667",120,415,"No","No",0,252,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,"NO"
"672",3,415,"No","Yes",36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,"NO"
"677",42,408,"No","No",0,241.2,134,41,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,"NO"
"680",75,415,"Yes","No",0,222.4,78,37.81,327,111,27.8,208,104,9.36,8.7,9,2.35,1,"YES"
"681",116,510,"No","No",0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,"NO"
"685",110,408,"No","No",0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3,3,"NO"
"686",63,415,"No","Yes",32,30.9,113,5.25,187,113,15.9,230.8,101,10.39,8.6,7,2.32,1,"NO"
"692",137,510,"No","No",0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,"NO"
"699",37,415,"No","No",0,206,89,35.02,186,88,15.81,307.1,86,13.82,8.4,11,2.27,0,"NO"
"702",94,415,"No","No",0,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,"NO"
"718",67,415,"No","No",0,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,"NO"
"720",78,510,"No","No",0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,"NO"
"733",48,510,"No","No",0,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94,2,"NO"
"735",93,415,"Yes","Yes",20,187.5,110,31.88,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27,1,"NO"
"740",101,510,"No","No",0,190.7,72,32.42,208.6,103,17.73,203.8,111,9.17,8.8,8,2.38,1,"NO"
"742",66,415,"No","No",0,34,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0,"NO"
"744",158,408,"No","No",0,202,126,34.34,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81,1,"NO"
"746",119,415,"No","Yes",26,161.3,97,27.42,250.3,110,21.28,142.4,92,6.41,6.6,8,1.78,1,"NO"
"747",120,415,"No","No",0,150.6,85,25.6,119,128,10.12,232.9,123,10.48,6.4,2,1.73,1,"NO"
"748",155,510,"No","No",0,184.6,102,31.38,196,117,16.66,226.5,122,10.19,7.8,1,2.11,1,"NO"
"752",101,415,"No","Yes",29,121.1,116,20.59,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73,0,"NO"
"753",22,510,"No","Yes",23,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,3,"NO"
"765",120,415,"No","Yes",31,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,"NO"
"766",113,415,"No","No",0,187.6,97,31.89,208.2,118,17.7,158.9,101,7.15,8.7,6,2.35,2,"NO"
"769",74,415,"No","No",0,230.9,93,39.25,223,78,18.96,157.8,101,7.1,9.7,2,2.62,3,"NO"
"771",179,415,"No","No",0,170.7,54,29.02,191.1,108,16.24,214.6,107,9.66,13.3,4,3.59,1,"NO"
"773",77,510,"No","No",0,189.5,112,32.22,207,95,17.6,214.1,91,9.63,9.2,7,2.48,0,"NO"
"780",167,408,"Yes","No",0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,"NO"
"787",85,408,"No","No",0,209.8,82,35.67,194.5,94,16.53,200.4,85,9.02,11.3,3,3.05,0,"NO"
"800",100,415,"No","Yes",26,153.7,115,26.13,137.8,146,11.71,213.5,104,9.61,15.9,5,4.29,1,"NO"
"803",84,510,"No","No",0,191,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,"NO"
"804",134,408,"No","No",0,208.3,86,35.41,253.6,89,21.56,291,86,13.1,12.6,3,3.4,1,"NO"
"812",58,510,"No","No",0,234.8,89,39.92,106.8,131,9.08,178.5,122,8.03,9.9,6,2.67,0,"NO"
"818",243,510,"No","No",0,95.5,92,16.24,163.7,63,13.91,264.2,118,11.89,6.6,6,1.78,2,"NO"
"819",153,408,"No","No",0,185.3,127,31.5,208,73,17.68,206.1,124,9.27,15.1,3,4.08,1,"NO"
"821",92,510,"No","Yes",16,184,99,31.28,76.4,134,6.49,185.1,96,8.33,12.7,3,3.43,2,"NO"
"835",104,415,"No","No",0,76.4,116,12.99,115.6,74,9.83,226.3,94,10.18,9.4,3,2.54,3,"NO"
"839",107,510,"No","Yes",28,201.8,79,34.31,304.9,128,25.92,225.6,133,10.15,11.9,8,3.21,1,"NO"
"844",102,408,"No","No",0,224.7,81,38.2,129.4,112,11,167.6,109,7.54,15.8,6,4.27,1,"NO"
"848",70,415,"No","Yes",31,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,1,"NO"
"851",166,408,"No","No",0,274.3,110,46.63,52.9,109,4.5,246.1,119,11.07,10.9,5,2.94,0,"NO"
"852",136,408,"Yes","No",0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11,4,2.97,3,"YES"
